KODU;IL_KODU;AD;IL_ADI;
1476;79;MERKEZ;KİLİS;
2029;80;TOPRAKKALE;OSMANİYE;
2028;80;SUMBAS;OSMANİYE;
2027;80;HASANBEYLİ;OSMANİYE;
1743;80;DÜZİÇİ;OSMANİYE;
1560;80;MERKEZ;OSMANİYE;
1423;80;KADİRLİ;OSMANİYE;
1165;80;BAHÇE;OSMANİYE;
2031;81;KAYNAŞLI;DÜZCE;
2017;81;GÜMÜŞOVA;DÜZCE;
1905;81;ÇİLİMLİ;DÜZCE;
1794;81;GÖLYAKA;DÜZCE;
1784;81;CUMAYERİ;DÜZCE;
1730;81;YIĞILCA;DÜZCE;
1292;81;MERKEZ;DÜZCE;
1116;81;AKÇAKOCA;DÜZCE;
